go,name,n_genes,auprc,n_novel_high
GO:0007186,G protein-coupled receptor signaling pathway,1020,0.8171,67
GO:0030182,neuron differentiation,662,0.3613,47
GO:0007167,enzyme-linked receptor protein signaling pathway,614,0.4635,44
GO:0048666,neuron development,506,0.3616,45
GO:0050767,regulation of neurogenesis,474,0.401,31
GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,464,0.515,31
GO:0010469,regulation of signaling receptor activity,461,0.5848,28
GO:0031175,neuron projection development,446,0.3643,37
GO:0002768,immune response-regulating cell surface receptor signaling pathway,414,0.5724,22
GO:0007420,brain development,409,0.3515,13
GO:0002429,immune response-activating cell surface receptor signaling pathway,379,0.5746,14
GO:0045664,regulation of neuron differentiation,375,0.4324,27
GO:0007268,chemical synaptic transmission,372,0.6638,39
GO:0007166,cell surface receptor signaling pathway,360,0.6028,32
GO:0055074,calcium ion homeostasis,353,0.5527,27
GO:0006874,intracellular calcium ion homeostasis,347,0.5357,30
GO:0048812,neuron projection morphogenesis,328,0.4204,38
GO:0042391,regulation of membrane potential,321,0.607,39
GO:0010975,regulation of neuron projection development,312,0.4453,28
GO:0050804,modulation of chemical synaptic transmission,278,0.5165,25
GO:0061564,axon development,272,0.4365,26
GO:0007409,axonogenesis,265,0.4797,25
GO:0050769,positive regulation of neurogenesis,261,0.4607,14
GO:0051480,regulation of cytosolic calcium ion concentration,259,0.573,15
GO:0007204,positive regulation of cytosolic calcium ion concentration,251,0.5703,18
GO:0006898,receptor-mediated endocytosis,243,0.6328,26
GO:0006816,calcium ion transport,229,0.6966,24
GO:0007411,axon guidance,225,0.6447,48
GO:0050851,antigen receptor-mediated signaling pathway,224,0.6436,9
GO:0045666,positive regulation of neuron differentiation,221,0.4932,12
GO:0007187,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",219,0.8323,28
GO:0010976,positive regulation of neuron projection development,206,0.4677,8
GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,199,0.8359,24
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,198,0.8411,30
GO:0070588,calcium ion transmembrane transport,196,0.7257,20
GO:0008037,cell recognition,188,0.6918,2
GO:0038093,Fc receptor signaling pathway,186,0.7154,14
GO:0019722,calcium-mediated signaling,174,0.5984,20
GO:0051924,regulation of calcium ion transport,174,0.5736,4
GO:0050808,synapse organization,171,0.5293,14
GO:0071805,potassium ion transmembrane transport,169,0.8749,37
GO:0097485,neuron projection guidance,166,0.6047,22
GO:0006813,potassium ion transport,164,0.8883,36
GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,162,0.6111,13
GO:0030522,intracellular receptor signaling pathway,159,0.5701,13
GO:0050768,negative regulation of neurogenesis,157,0.5067,15
GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,154,0.7104,16
GO:0050890,cognition,149,0.5563,11
GO:0038094,Fc-gamma receptor signaling pathway,139,0.7814,16
GO:0006836,neurotransmitter transport,139,0.7604,19
GO:0038096,Fc-gamma receptor signaling pathway involved in phagocytosis,136,0.7656,14
GO:0030512,negative regulation of transforming growth factor beta receptor signaling pathway,136,0.618,12
GO:0002431,Fc receptor mediated stimulatory signaling pathway,135,0.7709,14
GO:0050852,T cell receptor signaling pathway,135,0.6514,7
GO:0045665,negative regulation of neuron differentiation,131,0.5387,14
GO:0008277,regulation of G protein-coupled receptor signaling pathway,129,0.5285,4
GO:0051592,response to calcium ion,127,0.6784,16
GO:0050853,B cell receptor signaling pathway,126,0.7552,10
GO:0048167,regulation of synaptic plasticity,124,0.4794,7
GO:0002221,pattern recognition receptor signaling pathway,124,0.6958,20
GO:0007611,learning or memory,123,0.5929,22
GO:0038095,Fc-epsilon receptor signaling pathway,123,0.7747,8
GO:0050807,regulation of synapse organization,119,0.575,5
GO:0043524,negative regulation of neuron apoptotic process,116,0.6154,4
GO:0010977,negative regulation of neuron projection development,115,0.5483,17
GO:0046425,regulation of receptor signaling pathway via JAK-STAT,113,0.7023,5
GO:0050770,regulation of axonogenesis,112,0.5965,18
GO:0007179,transforming growth factor beta receptor signaling pathway,111,0.6,12
GO:0007218,neuropeptide signaling pathway,111,0.7972,9
GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,110,0.8192,10
GO:1903169,regulation of calcium ion transmembrane transport,106,0.6238,6
GO:0043523,regulation of neuron apoptotic process,105,0.6372,8
GO:0001508,action potential,100,0.7503,15
